,FILTER,EXP-TIME,DATE-OBS,XBINNING,IMAGE-NAME
249,R,20.0,2019-06-01T22:35:11,2,1998OH_20s_b2x2-143_R.fit
250,R,20.0,2019-06-01T22:35:34,2,1998OH_20s_b2x2-144_R.fit
251,R,20.0,2019-06-01T22:35:56,2,1998OH_20s_b2x2-145_R.fit
252,R,20.0,2019-06-01T22:36:19,2,1998OH_20s_b2x2-146_R.fit
253,R,20.0,2019-06-01T22:36:42,2,1998OH_20s_b2x2-147_R.fit
254,R,20.0,2019-06-01T22:37:04,2,1998OH_20s_b2x2-148_R.fit
255,R,20.0,2019-06-01T22:37:27,2,1998OH_20s_b2x2-149_R.fit
256,R,20.0,2019-06-01T22:37:50,2,1998OH_20s_b2x2-150_R.fit
257,R,20.0,2019-06-01T22:38:13,2,1998OH_20s_b2x2-151_R.fit
258,R,20.0,2019-06-01T22:38:36,2,1998OH_20s_b2x2-152_R.fit
259,R,20.0,2019-06-01T22:38:59,2,1998OH_20s_b2x2-153_R.fit
260,R,20.0,2019-06-01T22:39:22,2,1998OH_20s_b2x2-154_R.fit
261,R,20.0,2019-06-01T22:39:45,2,1998OH_20s_b2x2-155_R.fit
262,R,20.0,2019-06-01T22:40:07,2,1998OH_20s_b2x2-156_R.fit
263,R,20.0,2019-06-01T22:40:29,2,1998OH_20s_b2x2-157_R.fit
264,R,20.0,2019-06-01T22:40:52,2,1998OH_20s_b2x2-158_R.fit
265,R,20.0,2019-06-01T22:41:14,2,1998OH_20s_b2x2-159_R.fit
266,R,20.0,2019-06-01T22:41:37,2,1998OH_20s_b2x2-160_R.fit
267,R,20.0,2019-06-01T22:42:00,2,1998OH_20s_b2x2-161_R.fit
268,R,20.0,2019-06-01T22:42:22,2,1998OH_20s_b2x2-162_R.fit
269,R,20.0,2019-06-01T22:42:45,2,1998OH_20s_b2x2-163_R.fit
270,R,20.0,2019-06-01T22:43:08,2,1998OH_20s_b2x2-164_R.fit
271,R,20.0,2019-06-01T22:43:31,2,1998OH_20s_b2x2-165_R.fit
272,R,20.0,2019-06-01T22:43:53,2,1998OH_20s_b2x2-166_R.fit
273,R,20.0,2019-06-01T22:44:16,2,1998OH_20s_b2x2-167_R.fit
274,R,20.0,2019-06-01T22:44:39,2,1998OH_20s_b2x2-168_R.fit
275,R,20.0,2019-06-01T22:45:01,2,1998OH_20s_b2x2-169_R.fit
276,R,20.0,2019-06-01T22:45:24,2,1998OH_20s_b2x2-170_R.fit
277,R,20.0,2019-06-01T22:45:47,2,1998OH_20s_b2x2-171_R.fit
278,R,20.0,2019-06-01T22:46:10,2,1998OH_20s_b2x2-172_R.fit
279,R,20.0,2019-06-01T22:46:33,2,1998OH_20s_b2x2-173_R.fit
280,R,20.0,2019-06-01T22:46:57,2,1998OH_20s_b2x2-174_R.fit
281,R,20.0,2019-06-01T22:47:19,2,1998OH_20s_b2x2-175_R.fit
282,R,20.0,2019-06-01T22:47:42,2,1998OH_20s_b2x2-176_R.fit
283,R,20.0,2019-06-01T22:48:05,2,1998OH_20s_b2x2-177_R.fit
284,R,20.0,2019-06-01T22:48:27,2,1998OH_20s_b2x2-178_R.fit
285,R,20.0,2019-06-01T22:48:50,2,1998OH_20s_b2x2-179_R.fit
286,R,20.0,2019-06-01T22:49:12,2,1998OH_20s_b2x2-180_R.fit
287,R,20.0,2019-06-01T22:49:35,2,1998OH_20s_b2x2-181_R.fit
288,R,20.0,2019-06-01T22:49:57,2,1998OH_20s_b2x2-182_R.fit
289,R,20.0,2019-06-01T22:50:21,2,1998OH_20s_b2x2-183_R.fit
290,R,20.0,2019-06-01T22:50:44,2,1998OH_20s_b2x2-184_R.fit
291,R,20.0,2019-06-01T22:51:07,2,1998OH_20s_b2x2-185_R.fit
292,R,20.0,2019-06-01T22:51:29,2,1998OH_20s_b2x2-186_R.fit
293,R,20.0,2019-06-01T22:51:52,2,1998OH_20s_b2x2-187_R.fit
294,R,20.0,2019-06-01T22:52:14,2,1998OH_20s_b2x2-188_R.fit
295,R,20.0,2019-06-01T22:52:37,2,1998OH_20s_b2x2-189_R.fit
296,R,20.0,2019-06-01T22:53:01,2,1998OH_20s_b2x2-190_R.fit
297,R,20.0,2019-06-01T22:53:23,2,1998OH_20s_b2x2-191_R.fit
298,R,20.0,2019-06-01T22:53:46,2,1998OH_20s_b2x2-192_R.fit
299,R,20.0,2019-06-01T22:54:10,2,1998OH_20s_b2x2-193_R.fit
300,R,20.0,2019-06-01T22:54:32,2,1998OH_20s_b2x2-194_R.fit
301,R,20.0,2019-06-01T22:54:55,2,1998OH_20s_b2x2-195_R.fit
302,R,20.0,2019-06-01T22:55:18,2,1998OH_20s_b2x2-196_R.fit
